timestamp,phase,src_count,dst_service,pps,bps,http_rps,http_429,http_5xx,latency_ms,availability_pct
2026-09-23T08:00:00Z,baseline,118,portal,820,6400000,210,0,1,84,100.0
2026-09-23T08:05:00Z,baseline,126,portal,870,6750000,225,0,1,88,100.0
2026-09-23T08:10:00Z,baseline,121,portal,845,6600000,219,1,0,86,100.0
2026-09-23T08:15:00Z,baseline,139,portal,930,7200000,244,0,2,92,99.99
2026-09-23T08:20:00Z,baseline,132,portal,910,7000000,236,1,1,90,100.0
2026-09-23T08:25:00Z,baseline,144,portal,980,7600000,258,0,1,96,99.99
2026-09-23T08:30:00Z,incident,870,portal,6400,52000000,1320,84,18,310,99.5
2026-09-23T08:35:00Z,incident,2200,portal,18400,151000000,2850,410,103,880,96.8
2026-09-23T08:40:00Z,incident,4950,portal,47200,390000000,4800,1330,520,2400,72.0
2026-09-23T08:45:00Z,incident,6100,portal,58300,486000000,5100,1980,910,4100,38.0
2026-09-23T08:50:00Z,mitigation,5700,portal,50100,420000000,3900,2210,430,1600,81.0
2026-09-23T08:55:00Z,mitigation,1800,portal,12100,98000000,1800,640,74,420,98.5
2026-09-23T09:00:00Z,recovery,410,portal,3100,24800000,620,40,9,170,99.8
2026-09-23T09:05:00Z,recovery,190,portal,1400,10900000,330,4,2,108,100.0

